,1,2,3,4,5,6,11,12,13,14,15,99,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
14,13056.0,16011.0,25514.0,39258.0,70907.0,14644.0,17680.0,48329.0,44852.0,0.0,27095.0,807.0,44796.0,45412.0,43163.0,48219.0,48298.0,48316.0,53764.0,26799.0,27036.0,37182.0,41539.0,43656.0,48929.0,25871.0,23617.0,20619.0,25455.0,26578.0,30463.0,36629.0,38099.0,17475.0,14442.0,9816.0,16246.0,15944.0,6511.0,9815.0,9124.0,8402.0,1645.0,18.0,699.0
15,40115.0,20076.0,23960.0,37704.0,44404.0,41703.0,9825.0,21352.0,18349.0,27095.0,0.0,26504.0,18293.0,18909.0,16186.0,21242.0,21321.0,21339.0,26787.0,296.0,59.0,10205.0,14645.0,39119.0,47325.0,1224.0,3478.0,19065.0,23901.0,25024.0,28909.0,35075.0,36545.0,9620.0,12653.0,17279.0,19707.0,20009.0,20584.0,36874.0,36183.0,35461.0,28704.0,27077.0,26396.0
99,13827.0,15420.0,24923.0,38667.0,70316.0,15415.0,17089.0,47738.0,44261.0,807.0,26504.0,0.0,44205.0,44821.0,42572.0,47628.0,47707.0,47725.0,53173.0,26208.0,26445.0,36591.0,40948.0,43065.0,48338.0,25280.0,23026.0,20028.0,24864.0,25987.0,29872.0,36038.0,37508.0,16884.0,13851.0,9225.0,15655.0,15353.0,5920.0,10586.0,9895.0,9173.0,2416.0,789.0,108.0
101,57816.0,37777.0,41661.0,55405.0,26111.0,59404.0,27526.0,25308.0,56.0,44796.0,18293.0,44205.0,0.0,616.0,20142.0,25198.0,25277.0,25295.0,30743.0,17997.0,18234.0,26123.0,30563.0,43075.0,51281.0,18925.0,21179.0,36766.0,41602.0,42725.0,46610.0,52776.0,54246.0,27321.0,30354.0,34980.0,37408.0,37710.0,38285.0,54575.0,53884.0,53162.0,46405.0,44778.0,44097.0
102,58432.0,38393.0,42277.0,56021.0,26727.0,60020.0,28142.0,24692.0,560.0,45412.0,18909.0,44821.0,616.0,0.0,19526.0,24582.0,24661.0,24679.0,30127.0,18613.0,18850.0,25507.0,29947.0,42459.0,50665.0,19541.0,21795.0,37382.0,42218.0,43341.0,47226.0,53392.0,54862.0,27937.0,30970.0,35596.0,38024.0,38326.0,38901.0,55191.0,54500.0,53778.0,47021.0,45394.0,44713.0
103,56183.0,36144.0,40028.0,43128.0,46253.0,57771.0,25893.0,5166.0,20086.0,43163.0,16186.0,42572.0,20142.0,19526.0,0.0,5056.0,5135.0,5153.0,10601.0,16364.0,16127.0,5981.0,10421.0,22933.0,31139.0,17292.0,19546.0,35133.0,39969.0,40011.0,36126.0,43439.0,41969.0,25688.0,28721.0,33347.0,35775.0,36077.0,36652.0,52942.0,52251.0,51529.0,44772.0,43145.0,42464.0
104,61239.0,41200.0,36137.0,38072.0,51309.0,62827.0,30949.0,110.0,25142.0,48219.0,21242.0,47628.0,25198.0,24582.0,5056.0,0.0,79.0,97.0,5545.0,21420.0,21183.0,11037.0,7032.0,17877.0,26083.0,22348.0,24602.0,40189.0,36078.0,34955.0,31070.0,38383.0,36913.0,30744.0,33777.0,38403.0,40831.0,41133.0,41708.0,57998.0,57307.0,56585.0,49828.0,48201.0,47520.0
105,61318.0,41279.0,36058.0,37993.0,51388.0,62906.0,31028.0,31.0,25221.0,48298.0,21321.0,47707.0,25277.0,24661.0,5135.0,79.0,0.0,18.0,5466.0,21499.0,21262.0,11116.0,7111.0,17798.0,26004.0,22427.0,24681.0,40268.0,35999.0,34876.0,30991.0,38304.0,36834.0,30823.0,33856.0,38482.0,40910.0,41212.0,41787.0,58077.0,57386.0,56664.0,49907.0,48280.0,47599.0
106,61336.0,41297.0,36076.0,38011.0,51406.0,62924.0,31046.0,13.0,25239.0,48316.0,21339.0,47725.0,25295.0,24679.0,5153.0,97.0,18.0,0.0,5484.0,21517.0,21280.0,11134.0,7129.0,17816.0,26022.0,22445.0,24699.0,40286.0,36017.0,34894.0,31009.0,38322.0,36852.0,30841.0,33874.0,38500.0,40928.0,41230.0,41805.0,58095.0,57404.0,56682.0,49925.0,48298.0,47617.0
107,66784.0,46745.0,30592.0,32527.0,56854.0,68372.0,36494.0,5497.0,30687.0,53764.0,26787.0,53173.0,30743.0,30127.0,10601.0,5545.0,5466.0,5484.0,0.0,26965.0,26728.0,16582.0,12577.0,12332.0,20538.0,27893.0,30147.0,35369.0,30533.0,29410.0,25525.0,32838.0,31368.0,36289.0,39322.0,43948.0,46376.0,46678.0,47253.0,63543.0,62852.0,62130.0,55373.0,53746.0,53065.0
