,1,2,3,4,5,6,11,12,13,14,15,16,99,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
112,inf,inf,inf,22282,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10293,inf,inf,inf,inf,17078,13193,21423,21123,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
113,inf,inf,inf,11989,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12300,10830,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
114,44540,18852,22736,inf,inf,40479,8601,inf,inf,25871,inf,inf,25280,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,15668,inf,inf,inf,2254,17841,22677,23800,inf,33851,inf,8396,11429,16055,18483,18785,19360,41299,41990,34237,27480,25853,25172
115,42286,16598,20482,inf,inf,38225,6347,inf,inf,23617,inf,inf,23026,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,15587,20423,21546,inf,31597,inf,6142,9175,13801,16229,16531,17106,39045,39736,31983,25226,23599,22918
116,inf,23608,4895,inf,inf,35227,inf,inf,inf,20619,inf,inf,20028,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4836,5959,inf,16010,inf,inf,inf,10803,inf,23541,14108,inf,inf,28985,22228,20601,19920
117,inf,inf,59,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1123,inf,11174,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
118,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10051,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
119,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3885,inf,8230,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
120,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
121,inf,inf,inf,1159,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1470,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
